name,name_original,category,calories_per_100g,protein_g_per_100g,carbs_g_per_100g,fat_g_per_100g,fiber_g_per_100g,sugar_g_per_100g,saturated_fat_g_per_100g,sodium_mg_per_100g,source_name,source_id,license
Papilla de trigo sarraceno,Buckwheat porridge,Comidas estonias,102,3.4,18.2,1.8,1.8,0,,,tempolife_curated,1235,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Repollo pastel,Cabbage pie,Comidas estonias,198,5.8,26.4,8.2,2.2,0,,,tempolife_curated,1237,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Pollo cutlet,Chicken cutlet,Comidas estonias,188,20.4,7.8,9.2,0.4,0,,,tempolife_curated,1240,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Pollo fillet a la parrilla,Chicken fillet grilled,Comidas estonias,148,26.8,0.4,3.8,0,0,,,tempolife_curated,1253,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Pollo sopa,Chicken soup,Comidas estonias,62,5.8,5.4,1.8,0.8,0,,,tempolife_curated,1307,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Chocolate glaseado curd snack,Chocolate glazed curd snack,Comidas estonias,268,8.2,30.8,12.6,0.4,0,,,tempolife_curated,1269,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Cold ahumado salchicha,Cold smoked sausage,Comidas estonias,386,18.4,1.8,34.2,0.2,0,,,tempolife_curated,1294,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Curd torta (cheesecake),Curd cake (cheesecake),Comidas estonias,268,10.4,28.6,12.8,0.4,0,,,tempolife_curated,1277,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Curd galleta dulce,Curd cookie,Comidas estonias,312,8.6,42.4,12.2,0.8,0,,,tempolife_curated,1260,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Curd crema,Curd cream,Comidas estonias,182,9.6,18.4,7.8,0.2,0,,,tempolife_curated,1221,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Curd panqueques,Curd pancakes,Comidas estonias,188,10.4,22.4,6.8,0.6,0,,,tempolife_curated,1259,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Oscuro trigo pan,Dark wheat bread,Comidas estonias,236,8.2,44.6,2.8,3.4,0,,,tempolife_curated,1285,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Estonian pan plano de cebada,Estonian barley flatbread,Comidas estonias,224,5.8,38.4,5.6,3.2,0,,,tempolife_curated,1224,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Estonian beet y arenque ensalada,Estonian beet and herring salad,Comidas estonias,116,4.2,14.8,4.6,2.4,0,,,tempolife_curated,1225,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Estonian alcaravea queso de cuajada,Estonian caraway curd cheese,Comidas estonias,268,18.4,4.2,20.2,0,0,,,tempolife_curated,1267,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Estonian queso cottage,Estonian cottage cheese,Comidas estonias,98,12.6,3.4,4.2,0,0,,,tempolife_curated,1287,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Estonian queso de cuajada (quark (queso fresco)),Estonian curd cheese (quark),Comidas estonias,96,12.4,4.2,3.6,0,0,,,tempolife_curated,1283,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Estonian fruta budín (kissel),Estonian fruit pudding (kissel),Comidas estonias,62,0.2,15.4,0.1,0.4,0,,,tempolife_curated,1261,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Estonian panqueques,Estonian pancakes,Comidas estonias,216,6.4,28.8,8.6,0.8,0,,,tempolife_curated,1228,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Estonian papa ensalada,Estonian potato salad,Comidas estonias,142,3.8,16.4,7.2,1.8,0,,,tempolife_curated,1230,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Estonian pan trenzado dulce,Estonian sweet braid bread,Comidas estonias,318,7.8,52.4,9.2,1.8,0,,,tempolife_curated,1262,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Fermented leche,Fermented milk,Comidas estonias,62,3.2,4.8,3.4,0,0,,,tempolife_curated,1282,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Pescado pan (open sándwich),Fish bread (open sandwich),Comidas estonias,168,10.4,18.4,6.2,1.8,0,,,tempolife_curated,1302,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Pescado cutlet,Fish cutlet,Comidas estonias,162,16.2,8.6,7.4,0.6,0,,,tempolife_curated,1241,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Frito baltic sprat,Fried Baltic sprat,Comidas estonias,198,18.4,4.8,11.6,0.4,0,,,tempolife_curated,1254,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Frito huevo,Fried egg,Comidas estonias,196,13.2,0.8,15.4,0,0,,,tempolife_curated,1304,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Frito papas,Fried potatoes,Comidas estonias,154,2.4,20.8,7.2,2.2,0,,,tempolife_curated,1242,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Fruta kissel,Fruit kissel,Comidas estonias,54,0.4,13.2,0,0.4,0,,,tempolife_curated,1265,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Gingerbread galletas dulces,Gingerbread cookies,Comidas estonias,362,5.4,72.8,5.6,1.8,0,,,tempolife_curated,1279,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Glaseado curd snack (simple),Glazed curd snack (plain),Comidas estonias,248,8.6,28.4,11.2,0.2,0,,,tempolife_curated,1268,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Casero-estilo carne ensalada,Home-style meat salad,Comidas estonias,186,10.4,8.6,13.2,1.4,0,,,tempolife_curated,1299,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Kalev chocolate barra,Kalev chocolate bar,Comidas estonias,548,6.2,58.4,32.4,2.2,0,,,tempolife_curated,1271,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Kama con kéfir,Kama with kefir,Comidas estonias,138,7.2,21.8,2.9,3.4,0,,,tempolife_curated,1220,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Kama con leche,Kama with milk,Comidas estonias,142,6.8,22.4,3.1,3.4,0,,,tempolife_curated,1219,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Kéfir 2.5% grasa,Kefir 2.5% fat,Comidas estonias,68,3.4,4.8,2.5,0,0,,,tempolife_curated,1289,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Marinado eel,Marinated eel,Comidas estonias,184,16.8,4.2,11.2,0,0,,,tempolife_curated,1218,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Marinado hongos,Marinated mushrooms,Comidas estonias,32,1.8,4.2,0.6,1.4,0,,,tempolife_curated,1275,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Puré de papas,Mashed potatoes,Comidas estonias,94,2.2,14.8,3.4,1.6,0,,,tempolife_curated,1229,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Meatballs en salsa,Meatballs in sauce,Comidas estonias,198,14.8,8.6,11.4,0.8,0,,,tempolife_curated,1250,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Carne jalea / brawn,Meat jelly / brawn,Comidas estonias,96,14.8,1.2,3.6,0,0,,,tempolife_curated,1223,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Carne pastel,Meat pie,Comidas estonias,246,10.2,24.8,11.4,1.4,0,,,tempolife_curated,1236,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Carne salsa con arroz,Meat sauce with rice,Comidas estonias,248,16.4,28.6,7.8,1.2,0,,,tempolife_curated,1303,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Carne sopa,Meat soup,Comidas estonias,74,6.8,6.4,2.4,1.2,0,,,tempolife_curated,1297,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Leche 2.5% grasa,Milk 2.5% fat,Comidas estonias,52,3.4,4.8,2.5,0,0,,,tempolife_curated,1290,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Leche 3.5% grasa,Milk 3.5% fat,Comidas estonias,64,3.4,4.8,3.5,0,0,,,tempolife_curated,1291,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Leche sopa con pasta,Milk soup with pasta,Comidas estonias,92,4.2,13.8,2.4,0.6,0,,,tempolife_curated,1298,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Mulgi repollo con cerdo,Mulgi cabbage with pork,Comidas estonias,138,9.4,6.2,8.7,2.1,0,,,tempolife_curated,1217,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Mulgi papa y cebada porridge,Mulgi potato and barley porridge,Comidas estonias,112,4.2,18.6,2.8,2.4,0,,,tempolife_curated,1272,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Avena galletas dulces,Oat cookies,Comidas estonias,428,6.8,62.4,16.8,3.4,0,,,tempolife_curated,1278,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Avena cocida porridge,Oatmeal porridge,Comidas estonias,106,3.8,16.4,2.6,2.2,0,,,tempolife_curated,1234,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Horno-asado pollo,Oven-roasted chicken,Comidas estonias,198,24.6,1.2,10.8,0,0,,,tempolife_curated,1301,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Pea sopa,Pea soup,Comidas estonias,88,5.6,12.4,1.8,3.6,0,,,tempolife_curated,1227,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Pelmeni dumplings,Pelmeni dumplings,Comidas estonias,198,10.4,24.6,6.2,1.2,0,,,tempolife_curated,1231,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Pelmeni con crema agria,Pelmeni with sour cream,Comidas estonias,228,10.8,24.8,9.6,1.2,0,,,tempolife_curated,1232,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
En escabeche pepino,Pickled cucumber,Comidas estonias,12,0.6,1.8,0.1,0.8,0,,,tempolife_curated,1246,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
En escabeche zapallo,Pickled pumpkin,Comidas estonias,48,0.4,11.8,0.1,0.6,0,,,tempolife_curated,1247,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Cerdo cutlet,Pork cutlet,Comidas estonias,224,18.6,8.4,13.2,0.6,0,,,tempolife_curated,1239,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Cerdo fideo sopa,Pork noodle soup,Comidas estonias,88,6.4,9.8,2.8,1.2,0,,,tempolife_curated,1309,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Cerdo asado,Pork roast,Comidas estonias,268,24.2,0.6,18.4,0,0,,,tempolife_curated,1252,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Arroz pastel,Rice pie,Comidas estonias,218,6.2,30.4,8.4,0.8,0,,,tempolife_curated,1238,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Asado carne,Roasted meat,Comidas estonias,218,22.4,1.2,13.8,0,0,,,tempolife_curated,1251,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Centeno pan,Rye bread,Comidas estonias,218,6.4,40.8,2.4,6.2,0,,,tempolife_curated,1284,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Centeno pan porridge,Rye bread porridge,Comidas estonias,118,3.4,22.6,1.8,2.8,0,,,tempolife_curated,1257,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Sal-curado salmón,Salt-cured salmon,Comidas estonias,182,20.6,0,11.4,0,0,,,tempolife_curated,1295,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Salado hongos,Salted mushrooms,Comidas estonias,22,1.6,2.4,0.4,1.6,0,,,tempolife_curated,1276,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Sándwich con jamón,Sandwich with ham,Comidas estonias,218,12.4,22.8,8.4,1.8,0,,,tempolife_curated,1306,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Sauerkraut sopa,Sauerkraut soup,Comidas estonias,68,4.8,5.6,2.8,1.8,0,,,tempolife_curated,1226,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Papilla de sémola,Semolina porridge,Comidas estonias,86,3.2,14.6,1.8,0.4,0,,,tempolife_curated,1233,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
De carnaval bun,Shrovetide bun,Comidas estonias,326,8.2,48.6,11.4,1.6,0,,,tempolife_curated,1263,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Ahumado pescado,Smoked fish,Comidas estonias,172,22.6,0,9.2,0,0,,,tempolife_curated,1255,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Ahumado salchicha,Smoked sausage,Comidas estonias,312,14.8,2.4,27.6,0.2,0,,,tempolife_curated,1293,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Solyanka sopa,Solyanka soup,Comidas estonias,78,5.2,5.4,3.8,1.2,0,,,tempolife_curated,1248,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Crema agria,Sour cream,Comidas estonias,214,2.6,4,20.8,0,0,,,tempolife_curated,1288,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Soured leche,Soured milk,Comidas estonias,60,3.2,4.6,2.6,0,0,,,tempolife_curated,1292,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Sprat pastels,Sprat pies,Comidas estonias,226,10.8,22.4,10.4,1.4,0,,,tempolife_curated,1296,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Sprat sándwich,Sprat sandwich,Comidas estonias,198,8.4,18.6,9.8,1.8,0,,,tempolife_curated,1222,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Guisado fruta compote,Stewed fruit compote,Comidas estonias,48,0.2,12.2,0,0.4,0,,,tempolife_curated,1264,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Tostada,Toast,Comidas estonias,292,9.4,52.6,4.2,2.8,0,,,tempolife_curated,1305,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Typical estonian desayuno matambre,Typical Estonian breakfast plate,Comidas estonias,386,18.4,32.4,19.8,2.4,0,,,tempolife_curated,1280,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Typical estonian almuerzo matambre,Typical Estonian lunch plate,Comidas estonias,486,28.4,42.4,20.8,3.2,0,,,tempolife_curated,1300,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Vainilla curd snack,Vanilla curd snack,Comidas estonias,252,8.4,29.2,11.8,0.2,0,,,tempolife_curated,1270,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Pan blanco rollos,White bread rolls,Comidas estonias,282,8.8,54.2,3.4,1.8,0,,,tempolife_curated,1286,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Açaí bowl,Açaí bowl,Desayunos,145,3,23,5,4,0,,,tempolife_curated,944,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Banana panqueque,Banana pancake,Desayunos,235,6,36,8,1.8,0,,,tempolife_curated,951,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Arándano panqueque,Blueberry pancake,Desayunos,240,6,37,8,1.5,0,,,tempolife_curated,950,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Salvado flakes,Bran flakes,Desayunos,320,9,73,2,13,0,,,tempolife_curated,934,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Buckwheat panqueque,Buckwheat pancake,Desayunos,220,7,32,7,2.5,0,,,tempolife_curated,952,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
"Cereales, Maíz sémola de maíz, White, Regular y rápido, Cocido con agua","Cereals, corn grits, white, regular and quick, cooked with water",Desayunos,71,1.7,14.8,0.5,0.8,0.1,0.07,2.0,usda_sr_legacy_via_tempolife,15253,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
"Cereales, Maíz sémola de maíz, White, Regular y rápido, Cocido con agua (2)","Cereals, corn grits, white, regular and quick, cooked with water",Desayunos,71,1.7,14.8,0.5,0.8,0.1,0.07,223.2,usda_sr_legacy_via_tempolife,15269,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
"Cereales, Maíz sémola de maíz, White, Regular y rápido, Seco","Cereals, corn grits, white, regular and quick, dry",Desayunos,370,7.7,79.1,1.8,4.6,0.6,0.34,1.2,usda_sr_legacy_via_tempolife,15252,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
"Cereales, Maíz sémola de maíz, Yellow, Rápido, Cocido con agua","Cereals, corn grits, yellow, quick, cooked with water",Desayunos,65,1.2,13.9,0.4,0.7,0.1,0.06,223.2,usda_sr_legacy_via_tempolife,15271,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
"Cereales, Maíz sémola de maíz, Yellow, Regular y rápido, Cocido con agua","Cereals, corn grits, yellow, regular and quick, cooked with water",Desayunos,65,1.2,13.9,0.4,0.7,0.1,0.06,2.0,usda_sr_legacy_via_tempolife,15270,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
"Cereales, Maíz sémola de maíz, Yellow, Regular y rápido, Seco","Cereals, corn grits, yellow, regular and quick, dry",Desayunos,371,8.8,79.6,1.2,1.6,0.6,0.16,1.2,usda_sr_legacy_via_tempolife,15268,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
"Cereales, Crema de arroz, Cocido con agua, Con sal","Cereals, CREAM OF RICE, cooked with water, with salt",Desayunos,52,0.9,11.5,0.1,0.1,0,0.02,173.2,usda_sr_legacy_via_tempolife,17336,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
"Cereales, Crema de arroz, Seco","Cereals, CREAM OF RICE, dry",Desayunos,370,6.3,82.4,0.5,0.7,0.3,0.14,6.0,usda_sr_legacy_via_tempolife,17322,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
"Cereales, Crema de trigo, 10 minute cocción, Seco","Cereals, CREAM OF WHEAT, 10 minute cooking, dry",Desayunos,370,10.5,76.5,1.5,3.8,0.2,0.24,7.2,usda_sr_legacy_via_tempolife,17323,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
"Cereales, Crema de trigo, 1 minute cocinar time, Cocido con agua, Al microondas","Cereals, CREAM OF WHEAT, 1 minute cook time, cooked with water, microwaved",Desayunos,55,2,10.7,0.4,1.5,3,0.09,4.0,usda_sr_legacy_via_tempolife,16527,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
"Cereales, Crema de trigo, 1 minute cocinar time, Cocido con agua, Stove-top","Cereals, CREAM OF WHEAT, 1 minute cook time, cooked with water, stove-top",Desayunos,56,1.7,11.2,0.4,0.4,0.1,0.11,4.0,usda_sr_legacy_via_tempolife,16526,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
"Cereales, Crema de trigo, 1 minute cocinar time, Seco","Cereals, CREAM OF WHEAT, 1 minute cook time, dry",Desayunos,359,11.8,72.6,1.5,4.4,0.5,0.3,7.2,usda_sr_legacy_via_tempolife,16525,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
"Cereales, Crema de trigo, 2 1/2 minute cocinar time, Cocido con agua, Al microondas","Cereals, CREAM OF WHEAT, 2 1/2 minute cook time, cooked with water, microwaved",Desayunos,52,1.9,10.1,0.4,0.7,0.3,0.1,45.2,usda_sr_legacy_via_tempolife,16524,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
"Cereales, Crema de trigo, 2 1/2 minute cocinar time, Cocido con agua, Stove-top","Cereals, CREAM OF WHEAT, 2 1/2 minute cook time, cooked with water, stove-top",Desayunos,56,1.4,11.7,0.2,0.7,0.1,0.05,34.0,usda_sr_legacy_via_tempolife,16523,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
"Cereales, Crema de trigo, 2 1/2 minute cocinar time, Seco","Cereals, CREAM OF WHEAT, 2 1/2 minute cook time, dry",Desayunos,355,11.6,71.8,1.4,4.4,0.5,0.25,328.0,usda_sr_legacy_via_tempolife,18077,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
"Cereales, Crema de trigo, Instantáneo, Seco","Cereals, CREAM OF WHEAT, instant, dry",Desayunos,366,10.6,75.5,1.4,3.3,0.4,0.22,571.2,usda_sr_legacy_via_tempolife,15258,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
"Cereales, Crema de trigo, Instantáneo, Preparado con agua, Sin sal","Cereals, CREAM OF WHEAT, instant, prepared with water, without salt",Desayunos,62,1.8,13.1,0.2,0.6,0.1,0.04,102.0,usda_sr_legacy_via_tempolife,17324,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
"Cereales, Crema de trigo, Regular (10 minute), Cocido con agua, Sin sal","Cereals, CREAM OF WHEAT, regular (10 minute), cooked with water, without salt",Desayunos,50,1.4,10.5,0.2,0.5,0,0.03,6.0,usda_sr_legacy_via_tempolife,15255,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
"Cereales, Crema de trigo, Regular (10 minute), Cocido con agua, Con sal","Cereals, CREAM OF WHEAT, regular (10 minute), cooked with water, with salt",Desayunos,50,1.5,10.7,0.2,0.5,0,0.03,129.2,usda_sr_legacy_via_tempolife,17337,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
"Cereales, Farina, Assorted brands including crema de trigo, Rápido (1-3 minutes), Cocido con agua","Cereals, farina, assorted brands including CREAM OF WHEAT, quick (1-3 minutes), cooked with water",Desayunos,55,1.8,10.9,0.3,0.8,0.8,0.07,18.0,usda_sr_legacy_via_tempolife,15257,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
"Cereales, Farina, Assorted brands including crema de trigo, Rápido (1-3 minutes), Seco","Cereals, farina, assorted brands including CREAM OF WHEAT, quick (1-3 minutes), dry",Desayunos,360,11.6,73.2,1.4,4.2,0.6,0.23,124.0,usda_sr_legacy_via_tempolife,15256,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
"Cereales, Farina, Cocido con agua, Con sal","Cereals, farina, cooked with water, with salt",Desayunos,53,1.8,10.9,0.3,0.8,0.8,0.07,126.0,usda_sr_legacy_via_tempolife,17339,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
"Cereales, Farina, Seco","Cereals, farina, dry",Desayunos,369,10.6,78,0.5,1.9,,0.08,3.2,usda_sr_legacy_via_tempolife,17338,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
"Cereales, Malta-o-meal, Arándano mini spooners","Cereals, MALT-O-MEAL, Blueberry Mini SPOONERS",Desayunos,350,8.8,79.4,1.9,10.3,18.4,0.4,2.0,usda_sr_legacy_via_tempolife,15276,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
"Cereales, Malta-o-meal, Chocolate, Seco","Cereals, MALT-O-MEAL, chocolate, dry",Desayunos,363,10.6,79.6,0.8,2.8,16.6,0.31,10.0,usda_sr_legacy_via_tempolife,15272,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
